Dataset,Config,Accuracy,F1,ROC-AUC,PR-AP
CIC-DDoS2019,Full,0.9967858577742065,0.9979098628347486,0.9998077523891761,0.9999440735021649
CIC-DDoS2019,IID Instead of Non-IID,0.9969867416633186,0.9980404964075767,0.9998653640510516,0.999960657887874
CIC-DDoS2019,No Byzantine Filter,0.9964845319405383,0.9977137631458619,0.9997894214058521,0.9999385208321672
CIC-DDoS2019,No Context Weighting,0.9954801124949779,0.9970628549050323,0.99961903434657,0.9998896375812435
CIC-DDoS2019,No Privacy,0.9969867416633186,0.9980417754569191,0.9998444143558242,0.9999548724613018
NSL-KDD,Full,0.9758164764380156,0.9757424620267513,0.9974481749945466,0.9974539931386758
NSL-KDD,IID Instead of Non-IID,0.984292010396655,0.9842171000340638,0.9984877146933769,0.9984885994278594
NSL-KDD,No Byzantine Filter,0.9775115832297435,0.9772285158484952,0.9977527725400906,0.9977645866407039
NSL-KDD,No Context Weighting,0.9733303198101481,0.9732789855072463,0.997131214747783,0.9971065092136696
NSL-KDD,No Privacy,0.9863261385467285,0.9862296574485034,0.9988285829739041,0.9988442363940583
UNSW-NB15,Full,0.8469023678235484,0.854813903414334,0.9404984108166698,0.9281794670563024
UNSW-NB15,IID Instead of Non-IID,0.8546869931884528,0.8586304828021458,0.9455896921567799,0.9346710170991965
UNSW-NB15,No Byzantine Filter,0.8462536490431398,0.8496669838249287,0.9425481096639681,0.9319773160115354
UNSW-NB15,No Context Weighting,0.8452805708725267,0.8526868437306979,0.937404284154213,0.9240994138152739
UNSW-NB15,No Privacy,0.8550113525786571,0.8570971867007673,0.9432834634661393,0.9315875709071759
