Dataset,Model,fold,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AP,n_features_after_encoding
CIC-DDoS2019,Centralized MLP,0.0,,,,0.99830220713073,0.9998671857636802,,
CIC-DDoS2019,Centralized MLP,1.0,,,,0.99830220713073,0.9998671857636802,,
CIC-DDoS2019,Centralized MLP,2.0,,,,0.99830220713073,0.9998671857636802,,
CIC-DDoS2019,Centralized MLP,3.0,,,,0.99830220713073,0.9998671857636802,,
CIC-DDoS2019,Centralized MLP,4.0,,,,0.99830220713073,0.9998671857636802,,
CIC-DDoS2019,LightGBM,1.0,0.9993722536095417,0.9995107632093934,0.9996737889414451,0.9995922694283618,0.9999963536931842,0.9999989084508681,77.0
CIC-DDoS2019,LightGBM,2.0,0.9993722536095417,0.9993478969677209,0.9998368944707225,0.9995923359152059,0.9999964426274967,0.9999989358527513,77.0
CIC-DDoS2019,LightGBM,3.0,0.9987443495730789,0.9996734160679295,0.998694942903752,0.9991839399379794,0.999988792448601,0.9999966639330164,77.0
CIC-DDoS2019,LightGBM,4.0,0.9987443495730789,0.9998366546880104,0.998531810766721,0.9991838067254326,0.9999875471651121,0.9999963027071037,77.0
CIC-DDoS2019,LightGBM,5.0,0.9983676544450025,0.9990212071778141,0.998858261295058,0.9989397275915505,0.9999664089812863,0.999990047668322,77.0
CIC-DDoS2019,Proposed FL MLP,0.0,,,,0.9981716076792477,0.9998502779933471,,
CIC-DDoS2019,Proposed FL MLP,1.0,,,,0.9981716076792477,0.9998502779933471,,
CIC-DDoS2019,Proposed FL MLP,2.0,,,,0.9981716076792477,0.9998502779933471,,
CIC-DDoS2019,Proposed FL MLP,3.0,,,,0.9981716076792477,0.9998502779933471,,
CIC-DDoS2019,Proposed FL MLP,4.0,,,,0.9981716076792477,0.9998502779933471,,
CIC-DDoS2019,XGBoost,1.0,0.9993722536095417,0.9995107632093934,0.9996737889414451,0.9995922694283618,0.9999943082039947,0.9999983035198219,77.0
CIC-DDoS2019,XGBoost,2.0,0.9991211550533584,0.9996736292428199,0.9991844723536127,0.9994289909454278,0.9999906618971788,0.9999972291777219,77.0
CIC-DDoS2019,XGBoost,3.0,0.998869914615771,0.9996734693877551,0.9988580750407831,0.999265605875153,0.9999559703337894,0.999987261715269,77.0
CIC-DDoS2019,XGBoost,4.0,0.9984932194876946,0.999347045380346,0.998694942903752,0.9990208877284595,0.9999412048295652,0.999982832879425,77.0
CIC-DDoS2019,XGBoost,5.0,0.9982420894023104,0.9995100440960314,0.9982058391779481,0.9988575159131712,0.9999435848851271,0.999983731886403,77.0
NSL-KDD,Centralized MLP,0.0,,,,0.9880749574105622,0.9988947898366334,,
NSL-KDD,Centralized MLP,1.0,,,,0.9880749574105622,0.9988947898366334,,
NSL-KDD,Centralized MLP,2.0,,,,0.9880749574105622,0.9988947898366334,,
NSL-KDD,Centralized MLP,3.0,,,,0.9880749574105622,0.9988947898366334,,
NSL-KDD,Centralized MLP,4.0,,,,0.9880749574105622,0.9988947898366334,,
NSL-KDD,LightGBM,1.0,0.9940669586099732,0.9940205011389521,0.9940205011389521,0.9940205011389521,0.999692870868305,0.9997114642033798,96.0
NSL-KDD,LightGBM,2.0,0.9940669586099732,0.9957142857142857,0.9923120728929385,0.9940102681118084,0.9997841514822343,0.9997877842984269,96.0
NSL-KDD,LightGBM,3.0,0.9939256957197344,0.9977044476327116,0.9900341685649203,0.993854509075318,0.999723843214789,0.9997071026585345,96.0
NSL-KDD,LightGBM,4.0,0.9944907472806893,0.9960011425307055,0.9928815489749431,0.9944388991872237,0.9996423811539976,0.9996905309601085,96.0
NSL-KDD,LightGBM,5.0,0.9946320101709281,0.9974226804123711,0.9917425968109339,0.9945745288406624,0.9998244634280449,0.9998226797841607,96.0
NSL-KDD,Proposed FL MLP,0.0,,,,0.9807037457434733,0.9980291197807817,,
NSL-KDD,Proposed FL MLP,1.0,,,,0.9807037457434733,0.9980291197807817,,
NSL-KDD,Proposed FL MLP,2.0,,,,0.9807037457434733,0.9980291197807817,,
NSL-KDD,Proposed FL MLP,3.0,,,,0.9807037457434733,0.9980291197807817,,
NSL-KDD,Proposed FL MLP,4.0,,,,0.9807037457434733,0.9980291197807817,,
NSL-KDD,XGBoost,1.0,0.9932193812685407,0.9917660420215787,0.9945899772209568,0.993176002274666,0.9995983573161472,0.9996051221872724,96.0
NSL-KDD,XGBoost,2.0,0.9939256957197344,0.9945822640433419,0.9931662870159453,0.9938737711924776,0.9997770869135131,0.9997809875967454,96.0
NSL-KDD,XGBoost,3.0,0.9939256957197344,0.9940187980632299,0.9937357630979499,0.9938772604300157,0.99972264583026,0.9997071862493543,96.0
NSL-KDD,XGBoost,4.0,0.9944907472806893,0.9962846527579309,0.9925968109339408,0.9944373127941806,0.9997131066668455,0.9997310996557353,96.0
NSL-KDD,XGBoost,5.0,0.9937844328294957,0.994017094017094,0.9934510250569476,0.9937339789233837,0.9998003161733762,0.9997981784111749,96.0
UNSW-NB15,Centralized MLP,0.0,,,,0.8691817736403724,0.962243865693081,,
UNSW-NB15,Centralized MLP,1.0,,,,0.8691817736403724,0.962243865693081,,
UNSW-NB15,Centralized MLP,2.0,,,,0.8691817736403724,0.962243865693081,,
UNSW-NB15,Centralized MLP,3.0,,,,0.8691817736403724,0.962243865693081,,
UNSW-NB15,Centralized MLP,4.0,,,,0.8691817736403724,0.962243865693081,,
UNSW-NB15,LightGBM,1.0,0.9065477397121428,0.888034188034188,0.9126043039086518,0.900151613601906,0.9743026784344226,0.9684870019853513,96.0
UNSW-NB15,LightGBM,2.0,0.8961881589618816,0.8511738957421409,0.9393939393939394,0.8931106471816284,0.9739203216972808,0.9704228924810949,96.0
UNSW-NB15,LightGBM,3.0,0.9057177615571776,0.911070780399274,0.8818620992534036,0.8962285204195493,0.9761626748116554,0.9728242482161357,96.0
UNSW-NB15,LightGBM,4.0,0.8994322789943228,0.8790974882928906,0.9068950373298199,0.8927799394725465,0.9727400923175916,0.9691701190773067,96.0
UNSW-NB15,LightGBM,5.0,0.902676399026764,0.8908220965637234,0.8994290733421169,0.8951048951048951,0.9734493878438855,0.969997647847386,96.0
UNSW-NB15,Proposed FL MLP,0.0,,,,0.8491228070175438,0.9382445675519592,,
UNSW-NB15,Proposed FL MLP,1.0,,,,0.8491228070175438,0.9382445675519592,,
UNSW-NB15,Proposed FL MLP,2.0,,,,0.8491228070175438,0.9382445675519592,,
UNSW-NB15,Proposed FL MLP,3.0,,,,0.8491228070175438,0.9382445675519592,,
UNSW-NB15,Proposed FL MLP,4.0,,,,0.8491228070175438,0.9382445675519592,,
UNSW-NB15,XGBoost,1.0,0.9016825461179809,0.8796610169491526,0.9117259552042161,0.8954065128315721,0.9734883208724224,0.967667787322337,96.0
UNSW-NB15,XGBoost,2.0,0.9042984590429846,0.88,0.9178743961352657,0.8985382631126397,0.9748997383976505,0.9711393195517872,96.0
UNSW-NB15,XGBoost,3.0,0.9071370640713706,0.9185457892314772,0.8765920070267896,0.8970786516853932,0.9758229143146854,0.9727488021948815,96.0
UNSW-NB15,XGBoost,4.0,0.8994322789943228,0.8746318889356332,0.9130434782608695,0.8934250107434465,0.9725761669755775,0.9690359795271725,96.0
UNSW-NB15,XGBoost,5.0,0.8978102189781022,0.8793324775353016,0.9025032938076416,0.8907672301690507,0.9729983863857604,0.9694404390661324,96.0
