Dataset,Model,CV_F1_mean,CV_F1_std,CV_ROC_AUC_mean,CV_ROC_AUC_std
CIC-DDoS2019,Centralized MLP,0.9983022071307299,1.2412670766236366e-16,0.9998671857636803,1.2412670766236366e-16
CIC-DDoS2019,LightGBM,0.999298415919706,0.0002861975641332604,0.9999871089831359,1.2289199698508986e-05
CIC-DDoS2019,Proposed FL MLP,0.9981716076792477,0.0,0.9998502779933471,0.0
CIC-DDoS2019,XGBoost,0.9992330539781147,0.0002977121162176285,0.999965146029931,2.5611273481722263e-05
NSL-KDD,Centralized MLP,0.9880749574105622,0.0,0.9988947898366334,0.0
NSL-KDD,LightGBM,0.9941797412707931,0.0003093843092136915,0.9997335420294741,7.226086942724858e-05
NSL-KDD,Proposed FL MLP,0.9807037457434733,0.0,0.9980291197807818,1.2412670766236366e-16
NSL-KDD,XGBoost,0.9938196651229447,0.0004498269997981182,0.9997223025800285,7.831755074847068e-05
UNSW-NB15,Centralized MLP,0.8691817736403724,0.0,0.962243865693081,0.0
UNSW-NB15,LightGBM,0.8954751231561051,0.0029761132731354906,0.9741150310209672,0.0012844751499432102
UNSW-NB15,Proposed FL MLP,0.8491228070175438,0.0,0.9382445675519591,1.2412670766236366e-16
UNSW-NB15,XGBoost,0.8950431337084204,0.0030574899992367585,0.9739571053892192,0.0013615884003606114
