Dataset,Config,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AP,Threshold
CIC-DDoS2019,Centralized MLP,0.9973885094415428,0.9992156862745099,0.9973903966597077,0.99830220713073,0.9998671857636802,0.9999613723439089,0.12000000000000001
CIC-DDoS2019,LightGBM,0.9989955805544395,0.9988269030239834,0.9998695198329853,0.9993479394887845,0.9999967550743806,0.9999990327937622,0.1
CIC-DDoS2019,Proposed FL MLP,0.9971876255524307,0.9990849673202614,0.9972599164926931,0.9981716076792477,0.9998502779933471,0.9999566098587319,0.26
CIC-DDoS2019,XGBoost,0.9991964644435516,0.9998694176025071,0.9990866388308977,0.9994778749510508,0.9999933393632021,0.9999980313519988,0.41000000000000003
NSL-KDD,Centralized MLP,0.9881342524579049,0.9852774631936579,0.9908883826879271,0.9880749574105622,0.9988947898366334,0.9989653199763313,0.47
NSL-KDD,LightGBM,0.9935585941914341,0.9965619986247994,0.9904328018223235,0.9934879469896035,0.9998355300967918,0.9998349653841699,0.73
NSL-KDD,Proposed FL MLP,0.9807887896937507,0.9773755656108597,0.9840546697038725,0.9807037457434733,0.9980291197807817,0.9980003260996885,0.75
NSL-KDD,XGBoost,0.9924285229969488,0.9963260619977038,0.988382687927107,0.992338479130932,0.9997976246244574,0.99979577736368,0.74
UNSW-NB15,Centralized MLP,0.8700940642231593,0.8122710622710623,0.934668071654373,0.8691817736403724,0.962243865693081,0.9570808175834893,0.42000000000000004
UNSW-NB15,LightGBM,0.8916639636717483,0.8433658997793886,0.9399367755532139,0.8890365448504983,0.9738099327635704,0.9691455791786878,0.4
UNSW-NB15,Proposed FL MLP,0.8465780084333442,0.7776803973122991,0.9350193185809624,0.8491228070175438,0.9382445675519592,0.9248669425135373,0.45000000000000007
UNSW-NB15,XGBoost,0.8965293545248135,0.858953526161846,0.928345626975764,0.8923024983119514,0.9742069507946339,0.969674638077211,0.45000000000000007
CIC-DDoS2019,Proposed FL MLP vs Centralized MLP,-0.0002008838891121023,-0.00013071895424843216,-0.00013048016701466825,-0.000130599451482305,-1.6907770333030037e-05,-4.7624851770011745e-06,
CIC-DDoS2019,Proposed FL MLP vs LightGBM,-0.0018079550020088098,0.00025806429627805993,-0.0026096033402922547,-0.0011763318095368014,-0.00014647708103343593,-4.2422935030317355e-05,
CIC-DDoS2019,Proposed FL MLP vs XGBoost,-0.002008838891120912,-0.0007844502822457189,-0.0018267223382045783,-0.0013062672718030521,-0.00014306136985497986,-4.1421493266913245e-05,
NSL-KDD,Proposed FL MLP vs Centralized MLP,-0.007345462764154154,-0.007901897582798245,-0.006833712984054663,-0.007371211667088873,-0.0008656700558516972,-0.000964993876642839,
NSL-KDD,Proposed FL MLP vs LightGBM,-0.01276980449768339,-0.01918643301393974,-0.006378132118451063,-0.012784201246130222,-0.001806410316010143,-0.0018346392844814652,
NSL-KDD,Proposed FL MLP vs XGBoost,-0.011639733303198119,-0.018950496386844096,-0.0043280182232345865,-0.011634733387458684,-0.0017685048436757445,-0.0017954512639914988,
UNSW-NB15,Proposed FL MLP vs Centralized MLP,-0.023516055789815082,-0.03459066495876317,0.00035124692658938805,-0.020058966622828578,-0.023999298141121783,-0.03221387506995199,
UNSW-NB15,Proposed FL MLP vs LightGBM,-0.045085955238404085,-0.06568550246708948,-0.004917456972251433,-0.03991373783295449,-0.035565365211611244,-0.04427863666515053,
UNSW-NB15,Proposed FL MLP vs XGBoost,-0.04995134609146934,-0.08127312884954685,0.006673691605198484,-0.043179691294407574,-0.035962383242674756,-0.0448076955636737,
