Dataset,sigma,Accuracy,F1,ROC-AUC,Average_Round_Sigma
CIC-DDoS2019,0.0,0.9954801124949779,0.9970613204466793,0.9994230294534499,0.0
CIC-DDoS2019,0.01,0.9972880674969867,0.9982370225269344,0.9998638269810213,0.009999999999999998
CIC-DDoS2019,0.02,0.9961832061068703,0.9975182863113897,0.9997718304932833,0.019999999999999997
CIC-DDoS2019,0.05,0.9963840899959823,0.9976485956890921,0.9997918124036769,0.05000000000000001
NSL-KDD,0.0,0.982144875127133,0.9820821047856657,0.9982688642304652,0.0
NSL-KDD,0.01,0.9809017968131992,0.9807582830467949,0.998254611364183,0.01
NSL-KDD,0.02,0.9809017968131992,0.980858534375354,0.9981059268935238,0.02
NSL-KDD,0.05,0.9692620635100011,0.9690346083788707,0.996084676329667,0.05000000000000001
UNSW-NB15,0.0,0.757541355822251,0.7789442555079107,0.8394084553040667,0.0
UNSW-NB15,0.01,0.8545248134933506,0.8595144870790916,0.9508971824366378,0.01
UNSW-NB15,0.02,0.8506325008108985,0.8525692332319513,0.9433484954746929,0.02
UNSW-NB15,0.05,0.8469023678235484,0.8522691705790297,0.9388453595984334,0.05000000000000001
